Replicate	concentration	Size.Class	Treatment	Size	Concentration	Time	status	LS.control	HS.control	ES.control	LL.control	HL.control	EL.control	LS.HS	LS.ES	HS.ES	LL.HL	LL.EL	HL.EL	LS.LL	HS.HL	ES.EL	Low.CG	High.CG	Extreme.CG	Low.High	Low.Extreme	High.Extreme	Small.CG	Large.CG	Small.Large
1	L	S	1	1	1	28	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
2	L	S	1	1	1	25	2	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
3	L	S	1	1	1	28	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
4	L	S	1	1	1	2	2	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
5	L	S	1	1	1	14	2	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
6	L	S	1	1	1	23	2	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
7	L	S	1	1	1	28	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
8	L	S	1	1	1	28	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
9	L	S	1	1	1	21	2	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
10	L	S	1	1	1	28	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
11	L	S	1	1	1	28	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
12	L	S	1	1	1	2	2	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
14	L	S	1	1	1	2	2	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
15	L	S	1	1	1	28	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
16	L	S	1	1	1	28	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
17	L	S	1	1	1	28	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
18	L	S	1	1	1	28	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
19	L	S	1	1	1	28	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
20	L	S	1	1	1	3	2	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1
1	H	S	2	1	2	28	1	NA	1	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	1	NA	NA	1	NA	2	NA	1	1	NA	1
2	H	S	2	1	2	22	2	NA	1	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	1	NA	NA	1	NA	2	NA	1	1	NA	1
3	H	S	2	1	2	10	2	NA	1	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	1	NA	NA	1	NA	2	NA	1	1	NA	1
