Replicate	concentration	Size.Class	Treatment	Size	Concentration	Time	status	LS.control	HS.control	ES.control	LS.HS	LS.ES	HS.ES
1	L	S	1	1	1	28	1	1	NA	NA	1	1	NA
2	L	S	1	1	1	25	2	1	NA	NA	1	1	NA
3	L	S	1	1	1	28	1	1	NA	NA	1	1	NA
4	L	S	1	1	1	2	2	1	NA	NA	1	1	NA
5	L	S	1	1	1	14	2	1	NA	NA	1	1	NA
6	L	S	1	1	1	23	2	1	NA	NA	1	1	NA
7	L	S	1	1	1	28	1	1	NA	NA	1	1	NA
8	L	S	1	1	1	28	1	1	NA	NA	1	1	NA
9	L	S	1	1	1	21	2	1	NA	NA	1	1	NA
10	L	S	1	1	1	28	1	1	NA	NA	1	1	NA
11	L	S	1	1	1	28	1	1	NA	NA	1	1	NA
12	L	S	1	1	1	2	2	1	NA	NA	1	1	NA
14	L	S	1	1	1	2	2	1	NA	NA	1	1	NA
15	L	S	1	1	1	28	1	1	NA	NA	1	1	NA
16	L	S	1	1	1	28	1	1	NA	NA	1	1	NA
17	L	S	1	1	1	28	1	1	NA	NA	1	1	NA
18	L	S	1	1	1	28	1	1	NA	NA	1	1	NA
19	L	S	1	1	1	28	1	1	NA	NA	1	1	NA
20	L	S	1	1	1	3	2	1	NA	NA	1	1	NA
1	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
2	H	S	2	1	2	22	2	NA	1	NA	2	NA	1
3	H	S	2	1	2	10	2	NA	1	NA	2	NA	1
4	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
5	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
6	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
7	H	S	2	1	2	27	2	NA	1	NA	2	NA	1
8	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
9	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
10	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
11	H	S	2	1	2	13	2	NA	1	NA	2	NA	1
12	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
13	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
14	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
15	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
16	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
17	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
18	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
19	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
20	H	S	2	1	2	28	1	NA	1	NA	2	NA	1
1	E	S	3	1	3	16	2	NA	NA	1	NA	2	2
2	E	S	3	1	3	28	1	NA	NA	1	NA	2	2
3	E	S	3	1	3	28	1	NA	NA	1	NA	2	2
4	E	S	3	1	3	28	1	NA	NA	1	NA	2	2
5	E	S	3	1	3	14	2	NA	NA	1	NA	2	2
6	E	S	3	1	3	28	1	NA	NA	1	NA	2	2
7	E	S	3	1	3	27	2	NA	NA	1	NA	2	2
8	E	S	3	1	3	28	1	NA	NA	1	NA	2	2
9	E	S	3	1	3	21	2	NA	NA	1	NA	2	2
10	E	S	3	1	3	3	2	NA	NA	1	NA	2	2
11	E	S	3	1	3	28	1	NA	NA	1	NA	2	2
12	E	S	3	1	3	14	2	NA	NA	1	NA	2	2
13	E	S	3	1	3	26	2	NA	NA	1	NA	2	2
14	E	S	3	1	3	28	1	NA	NA	1	NA	2	2
15	E	S	3	1	3	6	2	NA	NA	1	NA	2	2
16	E	S	3	1	3	4	2	NA	NA	1	NA	2	2
17	E	S	3	1	3	28	1	NA	NA	1	NA	2	2
18	E	S	3	1	3	12	2	NA	NA	1	NA	2	2
19	E	S	3	1	3	28	1	NA	NA	1	NA	2	2
20	E	S	3	1	3	4	2	NA	NA	1	NA	2	2
1	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
2	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
3	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
4	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
5	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
6	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
7	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
8	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
9	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
10	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
11	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
12	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
13	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
14	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
15	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
16	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
17	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
18	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
19	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
20	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
