Treatment;Concentration;Size;Replicate;FR;AE
GLS;Low;Small;GLS-1;0.0223445866312293;76.2107274318022
GLS;Low;Small;GLS-3;0.0476539873469388;16.4898456919924
GLS;Low;Small;GLS-7;0.0905704050402931;36.9078043568035
GLS;Low;Small;GLS-8;0.0543294621107872;27.0190717299183
GLS;Low;Small;GLS-10;0.0516615077763975;42.2903707624766
GLS;Low;Small;GLS-11;0.0700328162176871;43.6610085901979
GLS;Low;Small;GLS-15;0.0335973597460317;35.2070887487986
GLS;Low;Small;GLS-16;0.0568902060408163;30.6457384165258
GLS;Low;Small;GLS-18;0.0955102330691244;82.6302782245905
GLS;Low;Small;GLS-19;0.0949630284571429;71.4174478385482
GMS;High;Small;GMS-1;0.0257929074903475;58.086110242296
GMS;High;Small;GMS-4;0.0147396079047619;83.8465690787936
GMS;High;Small;GMS-5;0.043556564;39.8701968537366
GMS;High;Small;GMS-6;0.0692597215014006;32.0545585380961
GMS;High;Small;GMS-8;0.0424288309368771;46.7546910263545
GMS;High;Small;GMS-12;0.0304032075818815;22.0694733372126
GMS;High;Small;GMS-13;0.0253071808746356;44.7027736296153
GMS;High;Small;GMS-14;0.0145017571793313;83.2323013536945
GMS;High;Small;GMS-15;0.0462589580571429;47.5005159958108
GMS;High;Small;GMS-16;0.0627203814711246;37.9694858936733
GMS;High;Small;GMS-17;0.0630491658345865;47.5287161550845
GMS;High;Small;GMS-18;0.0395615767142857;68.4036860050468
GMS;High;Small;GMS-19;0.0320567800952381;55.4362158542667
GMS;High;Small;GMS-20;0.0192163445028572;88.1053637159011
GHS;Extreme;Small;GHS-2;0.0383200898675958;63.6293070341915
GHS;Extreme;Small;GHS-3;0.0329739778646617;31.5933580412286
GHS;Extreme;Small;GHS-6;0.0314025600932945;44.2952698178334
GHS;Extreme;Small;GHS-8;0.0332448210539682;20.4236160210323
GHS;Extreme;Small;GHS-11;0.0378741683809524;52.8513928608831
GHS;Extreme;Small;GHS-14;0.0291397943920266;31.5933580412286
GHS;Extreme;Small;GHS-17;0.0427302099136213;68.900137463134
GHS;Extreme;Small;GHS-19;0.0336900408339769;54.1585137277721
GLL;Low;Large;GLL-1;0.0636929271292517;46.5975156501235
GLL;Low;Large;GLL-5;0.0476801921428571;43.8221343457253
GLL;Low;Large;GLL-11;0.054272658051282;59.5044304679991
GLL;Low;Large;GLL-12;0.0236417199784367;54.3955720274858
GLL;Low;Large;GLL-13;0.0236417199784367;77.1977860137429
GLL;Low;Large;GLL-15;0.0490733492093023;59.3800807598085
GLL;Low;Large;GLL-16;0.0218689738746867;54.1585137277721
GLL;Low;Large;GLL-17;0.063657480605042;29.5951917278382
GLL;Low;Large;GLL-20;0.0445189825306122;63.3268109822177
GML;High;Large;GML-2;0.0631492729187675;37.9000193320433
GML;High;Large;GML-4;0.0290325555579515;81.4317566059444
GML;High;Large;GML-6;0.034193898768254;62.8635132118889
GML;High;Large;GML-8;0.0505623267598784;51.9086423020638
GML;High;Large;GML-9;0.0214954860698413;11.3878188856433
GML;High;Large;GML-10;0.05485841296793;46.8549719666864
GML;High;Large;GML-13;0.0448754749579832;43.8221343457253
GML;High;Large;GML-14;0.0440244094216028;36.6838423816486
GML;High;Large;GML-16;0.0348058655238095;54.3955720274858
GML;High;Large;GML-17;0.037687929087108;44.5288614913599
GML;High;Large;GML-18;0.0430643676734694;45.8401076797446
GML;High;Large;GML-19;0.0231513961142857;58.8629148894705
GML;High;Large;GML-20;0.0294662653186813;25.4129366571333
GHL;Extreme;Large;GHL-1;0.0469316305162907;63.6863106420839
GHL;Extreme;Large;GHL-2;0.0537152286753247;38.1055353078559
GHL;Extreme;Large;GHL-3;0.0386301273142857;74.1134686959679
GHL;Extreme;Large;GHL-6;0.0253071808746356;67.7432846172755
GHL;Extreme;Large;GHL-7;0.0289102980485175;55.2477619942799
GHL;Extreme;Large;GHL-9;0.0525918592;53.8222936873958
GHL;Extreme;Large;GHL-10;0.0283749221587302;17.9542303228466
GHL;Extreme;Large;GHL-12;0.0307745088914286;74.0044592483222
GHL;Extreme;Large;GHL-13;0.0311632877714286;92.6653621964435
GHL;Extreme;Large;GHL-14;0.0383061449142857;92.5412936657133
GHL;Extreme;Large;GHL-16;0.0561699359468439;71.6096456493882
GHL;Extreme;Large;GHL-17;0.0196589210122449;83.3902068154444
GHL;Extreme;Large;GHL-18;0.0245688462521008;90.8791144054971
GHL;Extreme;Large;GHL-19;0.0321352349714286;68.8815096298781
CG-S;Control;Small;CG-1;0.046977809837535;40.3735410853234
CG-L;Control;Large;CG-2;0.0633550021818182;18.004813891459
CG-S;Control;Small;CG-3;0.0356462761232493;21.4189881014718
CG-S;Control;Small;CG-5;0.018152892021164;12.5592998927668
CG-L;Control;Large;CG-6;0.0635386497959183;14.3485596840948
CG-S;Control;Small;CG-7;0.0336900408339769;8.31702745554426
CG-S;Control;Small;CG-9;0.0428990705306122;28.6412397300899
CG-L;Control;Large;CG-10;0.0331444949172932;31.9452867399865
CG-S;Control;Small;CG-11;0.0644029461003861;16.0689730407689
CG-L;Control;Large;CG-12;0.0320567800952381;25.7270264237779
CG-L;Control;Large;CG-14;0.0246363391062271;40.5268185795056
CG-L;Control;Large;CG-16;0.0397151500952381;28.0591197492305
CG-S;Control;Small;CG-17;0.0237639774878706;77.3150955799955
CG-L;Control;Large;CG-18;0.0408612018916256;15.6100236303699
CG-S;Control;Small;CG-19;0.0202870108571428;70.6591523300477
CG-L;Control;Large;CG-20;0.0287349026031746;44.7605022636748
