Replicate	concentration	Size.Class	Treatment	Size	Concentration	Time	status	LL.control	HL.control	EL.control	LL.HL	LL.EL	HL.EL
1	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
2	L	L	4	2	1	10	2	1	NA	NA	1	1	NA
3	L	L	4	2	1	5	2	1	NA	NA	1	1	NA
4	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
5	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
6	L	L	4	2	1	27	2	1	NA	NA	1	1	NA
7	L	L	4	2	1	24	2	1	NA	NA	1	1	NA
8	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
9	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
10	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
11	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
12	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
13	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
14	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
15	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
16	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
17	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
18	L	L	4	2	1	4	2	1	NA	NA	1	1	NA
19	L	L	4	2	1	26	2	1	NA	NA	1	1	NA
20	L	L	4	2	1	28	1	1	NA	NA	1	1	NA
1	H	L	5	2	2	27	2	NA	1	NA	2	NA	1
2	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
3	H	L	5	2	2	8	2	NA	1	NA	2	NA	1
4	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
5	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
6	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
7	H	L	5	2	2	19	2	NA	1	NA	2	NA	1
8	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
9	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
10	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
11	H	L	5	2	2	26	2	NA	1	NA	2	NA	1
12	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
13	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
14	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
15	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
16	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
17	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
18	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
19	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
20	H	L	5	2	2	28	1	NA	1	NA	2	NA	1
1	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
2	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
3	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
4	E	L	6	2	3	3	2	NA	NA	1	NA	2	2
5	E	L	6	2	3	22	2	NA	NA	1	NA	2	2
6	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
7	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
8	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
9	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
10	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
11	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
12	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
13	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
14	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
15	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
16	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
17	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
18	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
19	E	L	6	2	3	28	1	NA	NA	1	NA	2	2
20	E	L	6	2	3	3	2	NA	NA	1	NA	2	2
1	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
2	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
3	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
4	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
5	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
6	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
7	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
8	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
9	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
10	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
11	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
12	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
13	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
14	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
15	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
16	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
17	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
18	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
19	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
20	Control	Control	7	3	4	28	1	2	2	2	NA	NA	NA
