Treatment;Replicate;Size;Concentration;MPs;ADP;EFW;FVG;LIF;LII;LVL;SGQ;VIM
CG;CG1;Control;Control;Absence;0.401276403;2.779099762;3.252384862;2.097632813;3.587529074;2.01152205;1.617189853;9.749784895
CG;CG2;Control;Control;Absence;0.407603882;3.32489632;3.72450171;1.532002764;2.111466643;0.928587605;2.282103089;7.239063807
CG;CG3;Control;Control;Absence;0.246861472;2.010490166;2.865405014;2.070431522;2.429421818;0.875294724;1.203079517;5.395587814
CG;CG4;Control;Control;Absence;0.638361107;4.554710529;4.801195934;1.706961845;2.788459183;0.857090036;2.204633402;9.958322223
CG;CG5;Control;Control;Absence;0.112188012;4.476706263;3.615294505;1.703432272;3.086825187;1.454625868;1.35972819;8.955616661
GEL;GEL1;Large;Extreme;Presence;0.185218989;2.795027476;1.407678318;2.205007066;2.010730053;0.798183453;1.491092816;3.324791553
GEL;GEL2;Large;Extreme;Presence;0.443625782;1.911046208;3.995221176;1.551374652;2.621658726;0.331677082;1.283868726;6.146689248
GEL;GEL3;Large;Extreme;Presence;0.403778869;5.145486282;3.208394359;1.964884657;3.341366387;1.582902077;1.765961447;9.039210614
GEL;GEL4;Large;Extreme;Presence;0.179072751;3.545969741;2.888943754;1.895949512;2.805910976;2.443808816;1.84995894;6.121597406
GEL;GEL5;Large;Extreme;Presence;0.231585208;2.297875481;2.896834574;1.839792815;2.25855773;1.059505272;1.584749522;6.607107164
GES;GES1;Small;Extreme;Presence;0.435231077;2.46225269;3.22006071;1.874851743;2.772883286;1.100547059;1.791482704;8.556824316
GES;GES2;Small;Extreme;Presence;0.392902105;3.747459444;3.83886047;1.388853052;2.239821067;0.537568847;1.592506223;8.201040168
GES;GES3;Small;Extreme;Presence;0.459847766;3.947164631;3.620518748;2.361079724;3.11995003;1.622696822;2.284149275;7.977084859
GES;GES4;Small;Extreme;Presence;0.66109765;3.344498564;4.532070002;2.066816927;2.488494329;0.941734393;1.561056376;9.824133309
GES;GES5;Small;Extreme;Presence;0.155125655;3.180021092;3.407527533;1.7711278;2.182144415;1.432685725;1.443332698;5.721076766
GLL;GLL1;Large;Low;Presence;0.134428083;4.012272307;3.889286629;2.241245682;3.160322762;2.686851357;2.159107005;7.216481555
GLL;GLL2;Large;Low;Presence;0.341799992;2.966402;2.572036849;1.721378703;2.726196054;1.673820092;1.911067141;7.116207348
GLL;GLL3;Large;Low;Presence;0.500516594;4.345007487;3.172283532;1.794684528;2.526643535;1.638442577;1.63980812;8.00043398
GLL;GLL4;Large;Low;Presence;0.322250822;6.011115979;5.225654887;2.555535093;4.939034917;2.453631733;2.660052353;8.965479479
GLL;GLL5;Large;Low;Presence;0.199442154;4.103927662;3.950901744;1.987052797;1.964712021;1.876336467;1.981425498;7.603146251
GLS;GLS1;Small;Low;Presence;0.225625028;3.46058695;4.79481004;2.021763429;3.965427586;1.245937199;2.181783857;9.957933809
GLS;GLS2;Small;Low;Presence;0.344987131;1.924079377;3.129514821;2.085708012;2.336618086;1.25432254;1.609062226;6.871144154
GLS;GLS3;Small;Low;Presence;0.330664772;2.637025732;2.601829292;2.181074548;2.966512208;1.606168713;2.636651563;7.881764712
GLS;GLS4;Small;Low;Presence;0.316115123;4.90367917;4.057955583;1.663718201;3.77156086;1.463415796;1.756373198;7.841860256
GLS;GLS5;Small;Low;Presence;0.239413144;1.711687677;2.145560708;2.122006543;3.007979794;1.959609906;2.077187739;7.048312517
GHL;GHL1;Large;High;Presence;0.106376944;2.798884715;1.366616888;2.32482345;2.514305923;0.911792913;1.211389178;3.763242625
GHL;GHL2;Large;High;Presence;0.352030972;4.007314643;4.366975796;1.676275981;2.980248968;1.532250204;1.90478943;7.908348205
GHL;GHL3;Large;High;Presence;0.36180191;2.062283401;1.806521019;2.296672437;2.601466856;1.97515511;1.349723658;5.267345463
GHL;GHL4;Large;High;Presence;0.333899286;1.805702423;3.550911584;1.594022585;1.824698249;0.323267026;1.660126757;5.137028668
GHL;GHL5;Large;High;Presence;0.361441474;5.178741635;3.122593674;1.600473952;2.655578129;1.585352699;2.221830799;8.02165461
GHS;GHS1;Small;High;Presence;0.314894484;2.494865252;3.513042861;2.232221744;2.248079302;0.257673765;1.531000666;6.185643329
GHS;GHS2;Small;High;Presence;0.445875438;0;3.216791644;2.279003993;2.718567158;1.162767587;1.80752087;8.305313431
GHS;GHS3;Small;High;Presence;0.304691084;2.920233202;3.927951732;1.817911319;2.936961986;1.292188618;1.801064786;7.144875548
GHS;GHS4;Small;High;Presence;0.361511022;6.148125257;4.319622889;2.887474085;2.548419732;2.110148012;1.517566176;8.17843238
GHS;GHS5;Small;High;Presence;0.498965688;1.730016835;2.674376741;1.877112806;2.549858162;1.520413435;1.929307927;7.411652733
